Hood_ID,Population,lon,lat,District,d_lon,d_lat
129,"29,113",-79.2620294,43.8036603,Scarborough,-79.2317521,43.7764258
128,"23,757",-79.26643790000001,43.783507,Scarborough,-79.2317521,43.7764258
127,"29,960",-79.248935,43.765434,Scarborough,-79.2317521,43.7764258
133,"13,362",-79.1483269,43.7816836,Scarborough,-79.2317521,43.7764258
120,"26,984",-79.2827966,43.71619,Scarborough,-79.2317521,43.7764258
123,"15,935",-79.2324113,43.7251955,Scarborough,-79.2317521,43.7764258
126,"25,003",-79.2810228,43.7658133,Scarborough,-79.2317521,43.7764258
138,"22,776",-79.2460974,43.737227,Scarborough,-79.2317521,43.7764258
140,"9,917",-79.1893972,43.7496806,Scarborough,-79.2317521,43.7764258
134,"12,494",-79.17558919999999,43.7896128,Scarborough,-79.2317521,43.7764258
125,"13,641",-79.27396329999999,43.7308749,Scarborough,-79.2317521,43.7764258
124,"17,123",-79.2539764,43.7248777,Scarborough,-79.2317521,43.7764258
117,"43,993",-79.3157737,43.7967612,Scarborough,-79.2317521,43.7764258
132,"43,794",-79.22169,43.80916,Scarborough,-79.2317521,43.7764258
130,"26,572",-79.2652241,43.8273667,Scarborough,-79.2317521,43.7764258
135,"17,455",-79.20498060000001,43.7826337,Scarborough,-79.2317521,43.7764258
121,"13,845",-79.27482189999999,43.69722429999999,Scarborough,-79.2317521,43.7764258
131,"46,496",-79.165842,43.804929,Scarborough,-79.2317521,43.7764258
139,"16,724",-79.2188305,43.7432088,Scarborough,-79.2317521,43.7764258
116,"24,623",-79.3235013,43.8116831,Scarborough,-79.2317521,43.7764258
118,"27,446",-79.2980098,43.7810186,Scarborough,-79.2317521,43.7764258
136,"27,392",-79.18605240000001,43.7684769,Scarborough,-79.2317521,43.7764258
119,"27,917",-79.2947465,43.7453614,Scarborough,-79.2317521,43.7764258
137,"53,485",-79.2317279,43.7764702,Scarborough,-79.2317521,43.7764258
20,"12,054",-79.5449053,43.600797,Etobicoke,-79.5131983,43.6204946
