,d_lon,d_lat,District,occurrenceyear,Population,Total_Crimes,Crime_Per_1000,date
0,-79.5131983,43.6204946,Etobicoke,2015,287322,3267,2274.1036189362458,2015-06-06
1,-79.5131983,43.6204946,Etobicoke,2016,287322,3449,2400.790750447233,2016-06-06
2,-79.5131983,43.6204946,Etobicoke,2017,287322,3514,2446.0361545583005,2017-06-06
3,-79.5131983,43.6204946,Etobicoke,2018,287322,3932,2736.99890714947,2018-06-06
4,-79.5131983,43.6204946,Etobicoke,2019,287322,3749,2609.615692498312,2019-06-06
5,-79.5131983,43.6204946,Etobicoke,2020,287322,3397,2364.59442715838,2020-06-06
6,-79.5131983,43.6204946,Etobicoke,2021,287322,3450,2401.4868335874035,2021-06-06
7,-79.4503544,43.6956787,York,2015,131253,1485,2262.8054215903635,2015-06-06
8,-79.4503544,43.6956787,York,2016,131253,1579,2406.0402428896864,2016-06-06
9,-79.4503544,43.6956787,York,2017,131253,1567,2387.7549465536026,2017-06-06
10,-79.4503544,43.6956787,York,2018,131253,1543,2351.184353881435,2018-06-06
11,-79.4503544,43.6956787,York,2019,131253,1650,2514.228246211515,2019-06-06
12,-79.4503544,43.6956787,York,2020,131253,1545,2354.2319032707824,2020-06-06
13,-79.4503544,43.6956787,York,2021,131253,1451,2210.99708197146,2021-06-06
14,-79.41107939999999,43.7615377,North York,2015,613178,6218,2028.1223396795056,2015-06-06
15,-79.41107939999999,43.7615377,North York,2016,613178,6434,2098.5749651813994,2016-06-06
16,-79.41107939999999,43.7615377,North York,2017,613178,6628,2161.8518603080997,2017-06-06
17,-79.41107939999999,43.7615377,North York,2018,613178,7007,2285.4701244989224,2018-06-06
18,-79.41107939999999,43.7615377,North York,2019,613178,7449,2429.6370711277964,2019-06-06
19,-79.41107939999999,43.7615377,North York,2020,613178,6708,2187.945425308801,2020-06-06
20,-79.41107939999999,43.7615377,North York,2021,613178,6737,2197.4043426215553,2021-06-06
21,-79.3803231,43.6486795,Old Toronto,2015,706431,9286,2628.989950894001,2015-06-06
22,-79.3803231,43.6486795,Old Toronto,2016,706431,9314,2636.9171228329446,2016-06-06
23,-79.3803231,43.6486795,Old Toronto,2017,706431,9999,2830.8497220535337,2017-06-06
24,-79.3803231,43.6486795,Old Toronto,2018,706431,10939,3096.976208575218,2018-06-06
25,-79.3803231,43.6486795,Old Toronto,2019,706431,12007,3399.341195389217,2019-06-06
26,-79.3803231,43.6486795,Old Toronto,2020,706431,10940,3097.2593218587517,2020-06-06
27,-79.3803231,43.6486795,Old Toronto,2021,706431,9970,2822.6394368310566,2021-06-06
28,-79.34166379999999,43.69120059999999,East York,2015,84063,849,2019.9136362014203,2015-06-06
29,-79.34166379999999,43.69120059999999,East York,2016,84063,765,1820.063523785732,2016-06-06
30,-79.34166379999999,43.69120059999999,East York,2017,84063,721,1715.3801315679905,2017-06-06
31,-79.34166379999999,43.69120059999999,East York,2018,84063,788,1874.7843878995516,2018-06-06
32,-79.34166379999999,43.69120059999999,East York,2019,84063,896,2131.7345324340076,2019-06-06
33,-79.34166379999999,43.69120059999999,East York,2020,84063,744,1770.10099568181,2020-06-06
34,-79.34166379999999,43.69120059999999,East York,2021,84063,782,1860.5093798698597,2021-06-06
35,-79.2317521,43.7764258,Scarborough,2015,609807,7050,2312.206976961563,2015-06-06
36,-79.2317521,43.7764258,Scarborough,2016,609807,6841,2243.66069920483,2016-06-06
37,-79.2317521,43.7764258,Scarborough,2017,609807,7360,2413.878489423703,2017-06-06
38,-79.2317521,43.7764258,Scarborough,2018,609807,7309,2397.151885760577,2018-06-06
39,-79.2317521,43.7764258,Scarborough,2019,609807,7602,2493.247863668341,2019-06-06
40,-79.2317521,43.7764258,Scarborough,2020,609807,6080,1994.0735347413197,2020-06-06
41,-79.2317521,43.7764258,Scarborough,2021,609807,5916,1940.2860249226394,2021-06-06
